# particle_number, x, y, function_value
46, -8.97585678,  1.03450231, -71.07223486426074
47, 7.68475864, 3.99238205, -31.719882727497
48, -1.50522633,  2.51485792, -18.685342740611496
49, 5.65443076, 2.48996903, -15.530069296183116
50, -4.60012065,  0.08964329, -28.10413537320722
51,  7.56512304, -6.80536839, -25.77799378101175
52, -4.38217821, -5.93496213, -32.741586672275616
53,  4.80669477, -3.35097336, -4.632020767956659
54, 2.3178816 , 7.02312193, -40.74657462015619
55, -2.59016869, -1.27051703, -14.071971579824039
56, 2.45225897, 6.6490583 , -37.46327706102201
57, -0.27350228,  4.92431537, -28.050736135058578
58, 4.02013571, 9.33736085, -65.21348423537901
59, -7.77455948,  1.8762777 , -60.83236141979113
60, 0.45695759, 7.55691231, -47.72254487173959
61, -6.86203062, -2.97552167, -45.32112066947536
62, 1.53400607, 3.30874381, -14.951016724361505
63, 2.87754478, 4.8293723 , -23.632434370977016
64,  4.6223845 , -2.34059351, -3.268257836595761
65,  2.19818604, -1.75596691, -0.9748571336391366
66, -2.95314601,  0.42027028, -18.47916633575179
67, -4.5015424 ,  2.51112033, -35.15872784306251
68, -0.68025198, -0.98536842, -6.39421531242683
69,  0.37492359, -1.14895391, -3.4589485169203273
70, -3.29676954, -2.34024918, -17.81711676613052
71, -9.73656875, -9.27479698, -102.97956115070387
72,  5.10431908, -7.96425625, -22.697779412375134
73,  4.29742593, -7.67924808, -19.234162718831683
74, -1.59093629, -1.49028855, -9.370750129002827
75, 0.27138075, 6.56692276, -39.24670094599795
76, 1.83733459, 1.03147614, -5.43527743554665
77, 6.54156741, 1.19695845, -13.881647905517402
78, -8.52910782,  4.30350856, -80.98130745431318
79,  1.29277324, -9.27874351, -28.87056463187414
80, 9.56884254, 0.20956818, -28.128344955577184
81, -7.75587935,  4.06781544, -71.31787973254137
82,  6.48224409, -5.72912097, -16.179156224868027
83,  1.42117403, -1.51444258, -1.575198534644226
84, -6.33984483, -9.88633321, -71.8811259339773
85, 5.04506404, 4.49967273, -24.63551954059724
86,  1.63159709, -0.99175541, -1.708454458822996
87, -5.00639546,  2.38453587, -38.27054870585696
88, -2.07548649, -8.28598023, -31.776848563334852
89, -0.88410321,  5.2732092 , -32.37248089148038
90, 6.77296576, 3.78091663, -26.184463634792493
91, -2.07538463,  8.27456543, -63.14690157919258
92, 5.09389436, 0.84381205, -8.047334788865728
93, 4.47731648, 9.13472   , -63.75635155535356
94, -2.81664537,  3.75570535, -31.04579905912547
95, -1.34132831,  2.11981691, -16.37630412382352
96, -9.4137764 ,  2.58459734, -81.9437793056991
97, 6.47342695, 5.57559257, -36.75524153766643
98, -4.18217583, -5.00516127, -28.06568868873819
99, -6.03687904,  4.37645481, -57.055032905063236
0, -2.23463241, -6.08472881, -20.88328815460007
1,  4.31591425, -0.62396985, -3.3818372961736443
2, -2.79047755, -3.20226062, -15.761456221972669
3, -7.18673262, -2.92609767, -48.36177119102402
4, -2.28469357,  4.36493939, -31.990317606144295
5, -0.75822245, -6.02737521, -14.744558392093625
6, -5.80730815,  3.03281039, -47.59093207057508
7,  4.31860453, -4.93341706, -7.1734092910783875
8,  7.19624479, -4.26142471, -14.734459405027884
9, 6.24752084, 4.59221657, -29.015332739607935
10, -4.89820897, -4.62014446, -31.985279445801584
11, 1.0990453 , 7.83497751, -49.28516912103088
12, 1.87512379, 4.26604195, -20.124210333962655
13, -5.72475242,  4.11001702, -52.80236702525426
14, -2.06069069,  6.71503717, -48.42832099158335
15, -8.37634898, -6.06499202, -68.7400013714962
16, -1.50451076, -3.66925427, -10.502122069841622
17,  6.65936796, -6.70545569, -21.115311665165834
18, 7.23817491, 0.39115538, -14.768785744190234
19, 1.31866321, 1.95193061, -9.035401553715317
20, -2.61265464,  2.98034634, -25.897447462996702
21,  0.84847746, -1.25507476, -2.4906661694702237
22, -4.20197093,  9.29370627, -86.02667572900252
23, 0.79160448, 5.26143954, -28.021354317819956
24, -0.38940182, -1.19800264, -5.339660110644845
25,  4.16927093, -8.24718925, -22.455576933341643
26, 1.93606351, 3.28636032, -14.52711739632805
27, -2.87954316, -4.3234398 , -18.325211073968035
28, -1.81828345,  3.46147757, -24.615445372062567
29,  1.77154718, -9.30573305, -28.606701281895994
30, 2.55129861, 4.54294285, -21.676010589807284
31, 1.61067358, 2.02238811, -9.006953519201002
32, -3.49063866, -6.96342864, -31.681969109494332
33, -9.69412434,  6.42599965, -109.92840789845123
34, -3.04456264,  0.55476918, -19.30297182444797
35, -2.326921  ,  1.98103175, -20.099725423586058
36, -4.31197202,  6.70750597, -61.1649994512487
37, -2.62628016, -5.5653695 , -20.775779464517036
38,  6.24991736, -5.29915684, -13.72701227160597
39,  2.96995756, -5.15727251, -6.334280692771124
40,  0.15812911, -7.56755031, -19.721681416545195
41, -4.49717066, -2.09039281, -25.417261899320565
42, -0.98623941, -2.46801969, -7.157194316286462
43,  6.02129513, -6.88255595, -19.53163009198505
44, 7.8153589 , 2.40273591, -24.30222679565864
45,  4.28996482, -4.18804147, -5.138492439847987
46, -7.54147972,  0.05878145, -53.25300837204566
47, 5.60941956, 3.58992219, -20.822806382082387
48, -0.57700098,  1.73894733, -12.273874899074348
49, 4.72606034, 0.22934714, -5.663670464731794
50, -1.99425945, -0.81016504, -11.611992639106777
51,  5.71958368, -5.44001531, -12.367652271790572
52, -3.36569229, -5.67656021, -25.25331504381056
53,  3.00492487, -3.15097336, -1.8288802751060822
54, 2.10675408, 6.30160835, -34.6294494778819
55, -0.70018934, -2.54368234, -6.246707914194344
56, 1.23490061, 4.58765591, -22.764016388227642
57, 0.67788842, 2.48321823, -12.185284851936515
58, 3.6037249 , 7.45084772, -45.24721939750029
59, -6.4140058,  2.0762777, -48.554080429119345
60, 0.84481603, 7.26868047, -44.32110627439713
61, -6.60520398, -2.77552167, -42.754577349712
62, 0.92967462, 3.07234783, -14.514020913773992
63, 3.65814532, 4.5918885 , -22.661896979422334
64,  4.29994157, -4.08930539, -4.935362411782599
65,  2.95101364, -1.21290068, -1.2566979221935992
66, -2.23204805,  0.22027028, -14.362850962625792
67, -5.14369493,  0.70101942, -33.514625671853274
68, -1.33472408, -0.30118746, -9.549593675950305
69, 0.97236497, 0.09961648, -4.085005962971339
70, -2.73394893, -3.209368  , -15.473271526164725
71, -9.53656875, -9.00049501, -98.56694684403261
72,  2.95296982, -7.76425625, -18.21628004365896
73,  5.08836662, -6.46691599, -14.697120226510451
74, -1.36420739, -1.29028855, -8.570861921792273
75, 1.17150563, 4.90264135, -24.939351840783146
76,  2.92314687, -0.23534896, -2.393996719745572
77, 6.34156741, 1.39695845, -13.732726114056435
78, -7.74146994,  2.6472263 , -63.70142526527885
79,  0.3493639 , -9.69807003, -33.63650441819882
80,  9.09130405, -1.33841985, -22.799269187678902
81, -5.88738536,  1.05615472, -40.46248051712253
82,  6.28224409, -6.05489299, -16.703191565780585
83,  2.44737888, -0.26602804, -2.2552552143625118
84, -6.53984483, -8.47609119, -63.40082346195237
85, 4.83499037, 4.10663315, -21.68484944530745
86,  2.99560977, -0.69485694, -1.767937960396174
87, -3.90362939,  1.48812518, -27.161869349494573
88, -1.77746966, -7.60237156, -26.325832569247986
89, 0.77418008, 4.84208137, -25.13599633575812
90, 5.62596041, 2.68007146, -16.293280049432024
91, -2.65858307,  6.3923072 , -48.6056075177791
92, 3.29059649, 1.43290958, -6.785603083002444
93, 3.51147704, 8.30846691, -53.536879721917416
94, -1.17896074,  2.2207545 , -16.176623409181513
95, -1.90554827,  2.31981691, -19.526793714536197
96, -9.67863291,  1.52442289, -80.94182442325705
