swarm_number,particle_number,x,y,function_value
2,3, 2.50405125,-1.89674366,-0.9189520413956376
2,4, 2.50405914,-1.8963471 ,-0.9189534433320559
2,5, 2.50166783,-1.89584998,-0.9189485353715957
2,6, 2.50359827,-1.8958984 ,-0.9189534185373303
2,7, 2.50398803,-1.89626902,-0.9189534455077368
2,8, 2.50384418,-1.89607406,-0.9189536285845278
2,9, 2.50398541,-1.89653251,-0.9189524866986435
3,0, 2.50158938,-1.9033109 ,-0.9189452773121456
3,1, 2.50116746,-1.90211805,-0.9189414577385575
3,2, 2.50100275,-1.90198862,-0.9189410132638428
3,3, 2.50146175,-1.90328041,-0.9189449821215333
3,4, 2.50098938,-1.90306952,-0.9189437336095453
3,5, 2.50116671,-1.90338113,-0.9189449298289856
3,6, 2.50070181,-1.90279787,-0.9189426934978492
3,7, 2.50155141,-1.90232445,-0.91894243817872
3,8, 2.50053438,-1.90248098,-0.9189417536267457
3,9, 2.50026608,-1.90243041,-0.9189415220613911
4,0, 2.50998221,-1.87468599,-0.9193087550494519
4,1, 2.51922455,-1.87821206,-0.9193606820310808
4,2, 2.5229191 ,-1.87555083,-0.9195000567638534
4,3, 2.52230356,-1.87451131,-0.9195120943946898
4,4, 2.51809801,-1.87791939,-0.9193460789418636
4,5, 2.52223205,-1.87494721,-0.9194994865777921
4,6, 2.52166426,-1.88524346,-0.9192820809530273
4,7, 2.52072586,-1.87509331,-0.9194634854451954
4,8, 2.52205591,-1.87529364,-0.9194869668151834
4,9, 2.52357402,-1.87715976,-0.9194772386959227
0,0, 2.46074512,-1.89632348,-0.9197157642334164
0,1, 2.46074512,-1.89632348,-0.9197157642321203
0,2, 2.46074512,-1.89632348,-0.9197157642311674
0,3, 2.46074512,-1.89632348,-0.919715764232938
0,4, 2.46074512,-1.89632348,-0.9197157642310837
0,5, 2.46074512,-1.89632348,-0.9197157642346849
0,6, 2.46074512,-1.89632348,-0.9197157642313065
0,7, 2.46074512,-1.89632348,-0.919715764233817
0,8, 2.46074512,-1.89632348,-0.9197157642333307
0,9, 2.46074512,-1.89632348,-0.9197157642308121
1,0, 2.50824775,-1.89672058,-0.9189779232339677
1,1, 2.5057498 ,-1.89327006,-0.9189777093859295
1,2, 2.50918643,-1.89456541,-0.9189954958425804
1,3, 2.50544835,-1.89560164,-0.9189630482412483
