# particle_number, x, y, function_value
87, -2.48503398, -1.39642871, -13.471012437959743
88, -7.78968675, -4.29191632, -56.71839708873547
89, -2.55986018,  1.0972176 , -18.211687734022945
90, -6.57816505, -6.89079191, -54.57948078201796
91, -7.49784833, -3.65257597, -52.43318539164662
92,  0.75412665, -6.16689962, -11.546191599392374
93, -8.96558928, -4.98920758, -71.42040905221413
94, 0.98157629, 6.32259965, -35.87731630306747
95, 5.69924082, 8.60494039, -61.213395690765495
96,  7.70332638, -6.72461516, -26.09469692709127
97,  2.63977059, -9.85654962, -32.58204736969876
98,  8.35886977, -6.68878223, -29.548333603284373
99, -3.42242488,  7.66918883, -64.24118421740384
0, 4.43221721, 0.4725422 , -5.6001484580119545
1,  0.4774955 , -1.70911136, -2.982419993423774
2,  1.01585325, -3.67997368, -3.604437471261396
3, 0.53122775, 4.88955914, -25.906027291338035
4,  4.9677412 , -3.20214529, -4.811603021045893
5, -7.09858446, -2.22586619, -47.03844469922661
6, 5.35558677, 4.65407726, -26.474090822891537
7, -2.98498836,  8.20628397, -67.02997497076633
8, -7.41575506, -1.61250446, -50.121364617409476
9, -5.14870101, -8.49884166, -51.94260776436183
10, 0.90231258, 7.98266301, -51.02875521400079
11, 7.98966184, 1.74294246, -22.622646992113175
12, -0.02103572, -4.1550979 , -6.63948236313921
13, -2.78199735,  4.42157938, -34.84986944064064
14, 4.04997368, 0.61115311, -5.2730927177930536
15, 1.36014756, 5.10546184, -26.106818098388956
16, -5.42337851,  3.2907886 , -45.78104520298946
17, -4.24853785, -0.83163079, -24.26102645414255
18, -0.5519789 , -5.95733131, -13.80719482129914
19, -0.51739501, -5.0872543 , -10.550569860835799
20, -6.39362019,  2.87385126, -51.86200648659254
21, -3.11195805, -6.58832187, -27.656156098045614
22, -3.79521698,  6.87477082, -59.23211841584832
23, -4.11138304, -1.30178935, -22.953059360182102
24, -3.28053734,  1.92953197, -24.958902050128795
25,  6.47872525, -6.4216969 , -19.056937286999826
26, -6.68075903, -7.46773648, -58.5619514482108
27, 3.71103525, 2.17407808, -9.951297813237554
28,  5.03046319, -1.08905141, -4.449379315660462
29,  1.20314998, -4.48541471, -5.102033131177015
30, -3.18397033, -5.7918297 , -24.645867118523718
31, 2.84603986, 3.62677693, -16.251441942898218
32, 1.95557695, 4.45239391, -21.243590974967006
33,  2.06780062, -4.6454487 , -4.781080976626218
34, 4.00964802, 2.85263459, -13.352224875578745
35, -2.76480945,  1.57223809, -20.806266500108517
36, -6.07595841, -3.52813163, -39.017876134110146
37, -4.15273205, -4.10789576, -25.485762266245185
38, 3.72170557, 6.55322946, -37.39376496944085
39, -4.65901393,  4.30073509, -45.76923662011583
40, 3.97054012, 6.4687933 , -37.01853332642592
41,  6.01022828, -8.19864091, -26.91622847507217
42, -1.24906865, -1.40707712, -8.068182903580578
43, -0.27238935,  7.34014187, -47.45212073512909
44, -7.78879098,  1.29546492, -58.95404648801025
45,  0.65993707, -4.5991716 , -6.2546179881373725
46, 7.65253533, 5.04203047, -38.28914220009026
47,  3.55385834, -1.60970666, -1.5163823465902988
48, 3.77816728, 4.26348319, -20.73005685851421
49, 1.62174334, 1.57573262, -7.344964547052324
50, -4.33502802, -3.827335  , -26.13505264687725
51,  5.71771338, -2.50285047, -6.277492580368531
52, -3.96398977,  6.86502443, -60.22334705282818
53,  3.39828202, -5.63828328, -8.309774782939222
54,  4.56360132, -4.72852329, -7.048435729587739
55,  0.81270476, -0.65889417, -3.112592987557517
56, -2.55946103,  4.05880579, -31.47169469829612
57, -2.35562517, -7.48700983, -28.3148258239296
58,  1.235456  , -7.25185057, -16.039626555952104
59, -1.70189684,  0.82528876, -13.460506461653011
60, 0.8904704 , 5.71814638, -31.232308400159397
61, 2.48528382, 5.94808464, -31.715263068527854
62,  1.00217354, -6.59202249, -13.048218130525754
63, -1.81903001,  4.10090279, -28.25136581486116
64,  0.40442999, -8.06432546, -22.11409954682259
65, 2.48606634, 2.87860502, -12.336568582519739
66, -7.5968151 , -8.08983981, -71.04883454075136
67, 1.38299185, 4.84084249, -24.26227086470233
68, -0.64084519,  5.45119646, -32.871437467311694
69, -2.09480076,  2.29595899, -20.27807143348838
70, 7.25623646, 3.77141985, -28.312332703607172
71, -2.2463283 , -2.21782625, -12.233261465859746
72,  6.1870709 , -0.31059338, -8.979291148649716
