swarm_number,particle_number,x,y,function_value
0,45,-0.82143514,-0.96778381,-7.476323050886993
0,46,4.96928547,4.7682559 ,-56.47116323535956
0,47, 3.8125963 ,-0.06930088,-21.641382901925745
0,48,-0.57080808, 4.23482111,-46.33379492714331
0,49, 3.34297113,-2.94609848,-35.937935224065484
0,50,-1.86560061,-0.09699166,-8.64867324005048
0,51,4.14887004,5.21028703,-55.95564461912021
0,52,-3.65297787,-5.79526539,-69.84888957502838
0,53,4.90691475,4.76918581,-57.28255494497811
0,54,-0.45190233,-5.64522872,-67.73735297759886
0,55,-1.67168145,-2.1424026 ,-25.851895441519535
0,56,-4.97960257,-1.59943934,-45.547487482182945
0,57,-1.07365178,-0.35404455,-18.411397887467103
0,58,-1.88868932, 6.20881715,-51.905363800623924
0,59,-4.36379948,-4.69246809,-71.15497591164936
0,60, 0.43730113,-2.22768356,-32.9902193497541
0,61, 0.56923569,-5.13489827,-49.14191084151344
0,62, 1.43083866,-0.09282537,-22.7796647403078
0,63,2.48590022,0.94357836,-27.652648078368838
0,64,5.4117924,2.0999774,-54.1094847074796
0,65, 3.55068957,-3.30052606,-56.119544729538404
0,66,-1.93933785, 3.78629974,-26.553671116281865
0,67, 2.23685001,-1.73258823,-28.27189374440388
0,68, 2.25513733,-3.04167096,-25.000949828517943
0,69,-1.34876453, 0.0393316 ,-17.93939695547469
0,70,-3.52075302, 4.04395109,-49.0432330905679
0,71,-5.14105642, 0.97253672,-31.20184360791321
0,72,3.42449418,3.86691679,-48.87282055743367
0,73,-5.65375554,-2.17789973,-58.01670770398617
0,74,-1.68285347, 2.72127986,-36.12701386959893
0,75,-0.4537179 ,-2.75715565,-36.93846654406544
0,76,-4.10242282,-3.21832575,-37.210695679298844
0,77,-2.79777091,-4.22839452,-41.396827126094195
0,78,-4.77597628,-2.65673027,-53.77385064255642
0,79, 1.25429235,-4.16143392,-33.87846422123828
0,80,-0.82505856,-1.45342435,-27.824827112275322
0,81,-5.12143942, 2.88967445,-39.659804914891026
0,82,-0.06700295,-0.02975106,-1.0527430868600938
0,83,0.15048623,1.13090889,-8.644761379062723
0,84,-0.02228088,-3.17397658,-15.57535103120007
0,85, 4.86118036,-1.58878781,-48.20795730568236
0,86, 0.21418576,-0.80163048,-15.269717188069771
0,87,-0.99364849,-1.59178828,-21.911630864334
0,88, 1.70457022,-0.23330335,-24.728664701365354
0,89,-0.97075532,-0.39147543,-19.027856703876207
0,90,2.56907838,5.16968614,-57.56378412349285
0,91,-0.21535442,-3.59111596,-39.18829771159072
0,92,2.54925614,0.80486759,-33.29187256716918
0,93,-3.84868863,-1.33626702,-35.945794364278825
0,94,-3.14588522,-4.67030602,-50.424002885414794
0,95,-3.05270508, 4.04794635,-26.69855980552535
0,96,0.73322747,2.92452225,-21.245955155473723
0,97,2.65830867,2.80543775,-36.971531048286714
0,98,-0.19892791,-2.37230622,-29.46362432453101
0,99,-1.53747397, 1.90403576,-27.476659089131367
0,0,-3.71357129,-2.26617084,-42.209388660681164
0,1,-1.18825008, 4.61391186,-46.463018848139676
0,2,4.44449549,4.98012077,-64.03107053968773
0,3,-4.01348535, 0.37832677,-33.50438800338951
0,4,4.43622704,0.52768631,-59.015529346861015
0,5,-2.77294691, 0.25766328,-26.800130260863384
0,6, 4.99445593,-2.08491019,-30.68721559605434
0,7,3.04920768,2.95490136,-18.9020725632922
0,8,-0.63534763,-2.7562057 ,-34.20723869369043
0,9, 0.0183819 ,-1.81671479,-9.297285608127119
0,10, 3.85068773,-1.97337933,-22.948823584238244
0,11,-5.09670203,-3.07709307,-38.38505816687288
0,12,-3.50055796,-5.50746758,-82.57503816754259
0,13,-3.45735797, 5.22094733,-67.03951828880403
0,14,-2.62122786,-0.73657885,-35.492318682907076
0,15,-1.00349155,-4.39171604,-38.06998287290121
0,16,-4.3453777 ,-1.99916212,-38.51954113756387
0,17,5.97732553,2.47418344,-61.82004551703763
0,18,-0.24782823,-4.31335206,-42.40621326142097
0,19,-3.63487977,-3.7203434 ,-55.52470390964541
0,20,0.72229001,3.8660681 ,-30.53716252654028
0,21,-4.73214472,-3.71969677,-59.241390918510426
0,22,-1.28934997,-0.85111694,-18.89965848516544
0,23, 5.45014125,-0.44463549,-68.81606926026821
0,24,-3.1593725 , 2.24414864,-29.25875331324716
0,25, 1.23896351,-2.91170268,-20.82003667690359
0,26,4.32516193,3.12714732,-46.06002041566164
0,27,2.34155926,4.48630084,-61.013503222059356
0,28, 4.69456746,-2.57190187,-61.063325894087995
0,29, 4.81667201,-3.46113296,-60.81538650404346
0,30,2.78428358,4.60915265,-54.598002736599874
0,31,-0.99329825, 2.34659337,-22.205359256676623
0,32,-0.71352268, 2.73111378,-31.42389458768949
0,33,1.132574  ,0.37707965,-21.861085308551285
0,34,-5.21078491,-3.66115727,-63.4139838756314
0,35,-1.60652658,-2.20409531,-32.43691084843603
0,36, 2.94499264,-3.23876977,-29.048929222439384
0,37,-2.73635276, 0.20965732,-25.88026542303696
0,38,-0.96196973,-1.1906558 ,-8.98427705409571
0,39,-4.79558212,-0.541497  ,-50.127823341979735
0,40,2.92189426,3.68478845,-37.279023017787715
0,41,0.00278769,1.27994551,-13.51025221460074
0,42,-1.76482053, 0.22258766,-20.520415537979712
0,43,-3.57063376, 2.52156118,-58.04731618321353
0,44,-5.76001794, 0.40352852,-60.930096946777596
0,45,-0.91666621,-0.90663411,-4.673942449661352
0,46,4.91650337,4.68091417,-61.63359420994682
0,47, 3.59187819,-0.39611376,-49.38220214471009
0,48,-0.39586177, 4.09194174,-36.45803467596066
0,49, 3.10262451,-2.93765372,-21.02145397950396
0,50,-1.74714211, 0.03442565,-13.466271534851945
0,51,4.1036352 ,5.13046866,-48.38373731803215
0,52,-3.53166101,-5.7366397 ,-76.02291325071224
0,53,4.82445573,4.69307767,-64.2917152863956
0,54,-0.62859763,-5.58750626,-67.05099368979592
0,55,-1.49979095,-1.82836876,-30.8648273167453
0,56,-4.92220775,-1.58603845,-46.48862151260849
0,57,-1.24787305,-0.5041115 ,-31.67434290468977
0,58,-1.54975079, 6.15021513,-63.875354022511786
0,59,-4.22780567,-4.5999861 ,-65.73490075325401
0,60, 0.11295141,-2.05944698,-7.357971009350035
0,61, 0.47586944,-5.072976  ,-46.879740918267345
0,62, 1.62485933,-0.17222746,-25.05271974418516
0,63,2.22819922,0.6103705 ,-31.662193197209984
0,64,5.34016604,1.82578058,-52.63437175651715
0,65, 3.50262452,-3.24635286,-52.57668954647088
0,66,-1.9138628 , 3.75783155,-28.721468060555868
0,67, 2.01652298,-1.41484361,-24.72440296828929
0,68, 1.93540991,-3.06844521,-14.883990247249068
0,69,-1.20404141, 0.24672247,-18.456970623605084
0,70,-3.41684396, 4.02307473,-46.63068732301328
0,71,-5.05557413, 0.68139262,-40.805056362168415
0,72,3.22822465,3.85785652,-37.67067693984525
0,73,-5.5895101,-2.0610489,-54.676976300642856
0,74,-1.77059051, 2.6798627 ,-33.292117913015545
0,75,-0.41928897,-2.69807476,-39.401854595521534
0,76,-3.94222798,-3.15042613,-30.26179060158609
0,77,-2.86587037,-4.14219479,-32.44956842297371
0,78,-4.7136233 ,-2.51661885,-60.76291450569402
0,79, 1.41900118,-3.98049073,-36.66556729436873
0,80,-1.00357081,-1.55368743,-22.86003935488109
0,81,-5.03437759, 2.74311536,-43.53445547120235
0,82,-0.21005193,-0.10595974,-9.707163596399138
0,83,0.43837397,1.11498444,-23.19327509757044
0,84, 0.26757322,-3.10160058,-22.762787445604594
0,85, 4.76955677,-1.43036531,-52.626938364129664
0,86, 0.29109091,-0.97911834,-13.682585366254326
0,87,-0.93857469,-1.71028343,-17.011212979195584
0,88, 1.82135837,-0.34578388,-24.763551609511104
0,89,-0.81414362,-0.07431284,-7.816729874115108
0,90,2.59990454,5.1014491 ,-52.84166250414974
0,91,-0.40375729,-3.42032122,-48.86105500054462
0,92,2.29386659,0.75429663,-28.2823093385546
0,93,-3.74687468,-1.5501717 ,-46.1456850740544
0,94,-3.16632861,-4.57009933,-54.93867277720912
0,95,-2.93396365, 3.9283684 ,-25.88458320399284
0,96,1.00253115,2.78917716,-16.34905281461446
0,97,2.62842613,2.64885658,-46.778110323466095
0,98, 0.14746468,-2.28529629,-21.437945150840577
0,99,-1.71004453, 2.02257856,-19.599725163400326
0,0,-3.03424807,-1.84967966,-16.99705398471032
0,1,-0.89677666, 3.7343284 ,-27.763026689410452
0,2,3.58735765,4.04645539,-48.196984285446405
0,3,-3.28597105, 0.21050261,-30.626553284472504
0,4,3.58016506,0.49863294,-51.82391351030583
0,5,-2.22610488, 0.34712045,-29.310820126915964
0,6, 4.02542888,-1.71507149,-31.449964686164748
0,7,2.40694071,2.40174855,-48.0547453172849
0,8,-0.38919334,-2.29374923,-35.799841122801894
0,9, 0.16132887,-1.32220028,-20.86912825810769
0,10, 3.07806855,-1.48323552,-32.79818434889973
0,11,-4.18527635,-2.42398328,-48.3175773078097
0,12,-2.87158997,-4.5211509 ,-51.68070624210331
0,13,-2.84085403, 4.24513209,-40.382288255331176
0,14,-2.1529137 ,-0.53004376,-29.009574146529516
0,15,-0.76671034,-3.57164739,-41.30021119850849
0,16,-3.56813701,-1.64329819,-50.74272783381311
0,17,4.84823258,1.96617712,-31.80852683941213
0,18,-0.19323933,-3.51961315,-38.857926199901705
0,19,-2.98834221,-3.04308787,-18.58162554229237
0,20,0.37794843,3.11488148,-29.540140456759403
0,21,-3.904653  ,-3.03834326,-26.508119697798833
0,22,-1.03277069,-0.5025058 ,-21.52912307907909
0,23, 4.4168224 ,-0.28324581,-50.327428470111116
0,24,-2.61763806, 1.72102636,-39.01485958950039
0,25, 0.91564769,-2.34653795,-23.417079336303814
0,26,3.47437423,2.52612103,-58.188839892744554
0,27,1.83181296,3.63684528,-38.1908452637747
0,28, 3.79479988,-2.12668278,-29.149541726478585
0,29, 3.89210794,-2.81657413,-31.230661855717013
0,30,2.11964036,3.72962519,-32.374536188883326
0,31,-0.91258432, 1.9145045 ,-7.377438516779176
0,32,-0.44103483, 2.13175693,-27.29581914564706
0,33,0.82117073,0.39529645,-24.419297910209547
0,34,-4.27966509,-3.00402136,-39.19600825662121
0,35,-1.2886717 ,-1.72255981,-28.7494511618014
0,36, 2.32360994,-2.6085738 ,-44.427675268051104
0,37,-2.1815089, 0.127947 ,-13.664601214281475
0,38,-0.95718484,-0.86257293,-5.5219406443169845
0,39,-3.95125256,-0.50767832,-36.32390854847316
0,40,2.25393245,2.93100065,-24.843173099530098
0,41,-0.17766739, 1.04458149,-7.122531776712403
0,42,-1.34380415, 0.24098918,-26.85655209049029
0,43,-2.92719952, 2.06767723,-14.762387813285827
0,44,-4.74745489, 0.26006942,-43.398129410559804
0,45,-0.84305863,-0.72393593,-17.345643708897565
0,46,3.97083706,3.80084615,-37.240697574117476
0,47, 2.82278835,-0.51306597,-33.782036444090906
0,48,-0.25724968, 3.27305298,-32.67780838672568
0,49, 2.38633022,-2.41461428,-47.67611282320385
0,50,-1.40891978, 0.07741909,-21.557731807052114
0,51,3.29732587,4.1546143 ,-45.42226121592203
0,52,-2.90024454,-4.70883011,-45.04333602757514
0,53,3.90063036,3.80938236,-37.96778911456983
0,54,-0.61922128,-4.58442942,-57.34913524861119
0,55,-1.20178332,-1.40866724,-28.843327574523766
0,56,-4.04953573,-1.3082278 ,-32.168148643312634
0,57,-1.11955921,-0.4886911 ,-24.158380263002158
0,58,-1.13927984, 5.00643096,-29.96143259617957
0,59,-3.48249829,-3.77294388,-54.86587904951282
0,60,-0.14080554,-1.61125425,-23.935466677267065
0,61, 0.2944342 ,-4.14953418,-34.159574710777974
0,62, 1.35309725,-0.19097501,-24.2772956332099
0,63,1.66591163,0.30668162,-31.396944483982356
0,64,4.31081888,1.32104513,-48.3744733640056
0,65, 2.80217375,-2.64685782,-37.67468034758472
0,66,-1.58963078, 3.04077795,-30.555383638227177
0,67, 1.48978797,-0.99393113,-23.194058492624457
0,68, 1.36848899,-2.53762278,-44.81014262288406
0,69,-0.96780607, 0.26279127,-12.01243239156463
0,70,-2.80719122, 3.25650105,-35.37688756120192
0,71,-4.15583641, 0.38685134,-39.420866826302586
0,72,2.51127609,3.12785929,-39.12202488821683
0,73,-4.5953556 ,-1.64009335,-58.43514522240941
0,74,-1.51154416, 2.15467051,-31.263132083627735
0,75,-0.36712723,-2.20414154,-28.86413827038417
0,76,-3.19980038,-2.56184499,-42.95414238496844
0,77,-2.41138919,-3.37306739,-52.666793068514984
0,78,-3.88266796,-2.03373299,-22.03154662429074
0,79, 1.2014787 ,-3.21918766,-26.88111941198404
0,80,-0.92372158,-1.32115935,-18.04900326129194
0,81,-4.13802993, 2.16096078,-30.016716525842583
0,82,-0.28476922,-0.14580312,-16.180510735248152
0,83,0.46923212,0.8831447 ,-23.390328591106716
0,84, 0.33129481,-2.52519699,-41.24998458842559
0,85, 3.8564342 ,-1.13007689,-23.107185749406916
